unicode,Cust_IMID,cust_id
30010771,7736,4267
30010774,11212,5952
30010804,11946,6221
30010805,11328,7231
30010809,19190,25445
30010836,11692,7040
30010840,11692,7040
30010841,11692,7040
30010852,12445,6994
30010853,11692,7040
30010856,11251,6060
30010867,11417,6531
30010910,11946,6221
30010923,11692,7040
30010925,12178,6497
30010925,12178,6497
30010929,12445,6994
30010930,11692,7040
30010931,11692,7040
30010945,12333,6675
30010945,12333,6675
30010963,11417,6531
30010965,11946,6221
30010966,12333,6675
30010966,12333,6675
30010967,17761,9625
30010973,676,469
30010985,12997,7443
30011031,15810,8293
30011031,15810,8293
30011039,14004,7162
30011039,14004,7162
30011045,13412,7064
30011046,11692,7040
30011048,15810,8293
30011049,11251,6060
30011063,11692,7040
30011076,12333,6675
30011076,12333,6675
30011081,12333,6675
30011081,12333,6675
30011091,33950,28977
30011130,12178,6497
30011156,33950,28977
30011184,11417,6531
30011219,11946,6221
30011221,11946,6221
30011223,12178,6497
30011235,18073,13181
30011244,11328,7231
30011255,12372,11957
30011255,12372,11957
30011260,14131,7220
30011265,12178,6497
30011283,13543,7253
30011283,13543,7253
30011318,11946,6221
30011321,15810,8293
30011321,15810,8293
30011337,11946,6221
30011339,24620,17399
30011364,28267,21617
30011365,14131,7220
30011369,11417,6531
30011376,14156,7246
30011382,33991,29102
30011384,11559,6628
30011416,11946,6221
30011442,13672,7378
30011448,13195,7488
30011463,11946,6221
30011476,12333,6675
30011486,12333,6675
30011521,33767,28501
30011530,20391,26042
30011547,11351,6009
30011549,11328,7231
30011559,11946,6221
30011569,14888,7718
30011570,11946,6221
30011574,10396,5867
30011581,11692,7040
30011582,12554,6553
30011655,13543,7253
30011655,13543,7253
30011666,23877,16236
30011671,1055,1660
30011692,11946,6221
30011701,12273,6387
30011707,24805,17672
30011722,13687,7845
30011727,52,1292
30011737,13687,7845
30011766,11328,7231
30011768,11946,6221
30011784,12554,6553
30011812,11212,5952
30011821,14932,7901
30011823,12416,6592
30011847,14535,7849
30011858,33571,28257
30011871,11946,6221
30011876,11946,6221
30011879,11946,6221
30011883,27451,20706
30011884,11946,6221
30011887,30836,24579
30011889,35707,31013
30011889,35707,31013
30011895,12751,7389
30011981,33274,28831
30012005,12749,6887
30012038,11946,6221
30012040,11946,6221
30012044,12751,7389
30012076,11946,6221
30012081,14075,7227
30012082,15345,7983
30012086,11946,6221
30012091,12333,6675
30012091,12333,6675
30012118,12333,6675
30012137,33274,28831
30012150,33274,28831
30012169,11946,6221
30012179,11607,7500
30012190,11946,6221
30012217,21376,14166
30012220,11946,6221
30012241,11946,6221
30012248,12886,6659
30012251,29117,22795
30012270,17837,24894
30012271,14075,7227
30012278,11946,6221
30012284,12333,6675
30012284,12333,6675
30012285,8274,4613
30012313,11946,6221
30012319,29117,22795
30012324,14075,7227
30012325,11692,7040
30012327,11946,6221
30012332,11946,6221
30012335,11946,6221
30012346,29185,22817
30012381,14075,7227
30012384,20403,12308
30012391,14075,7227
30012393,12997,7443
30012399,11946,6221
30012400,11946,6221
30012403,13195,7488
30012405,11946,6221
30012417,11946,6221
30012419,11946,6221
30012420,11946,6221
30012430,11946,6221
30012439,12092,6319
30012443,13188,6844
30012455,14075,7227
30012455,14075,7227
30012481,14740,8096
30012520,11946,6221
30012526,11946,6221
30012528,11946,6221
30012539,11946,6221
30012544,11946,6221
30012547,11946,6221
30012548,11946,6221
30012550,11946,6221
30012555,11946,6221
30012561,11946,6221
30012566,26866,20017
30012583,12333,6675
30012587,11946,6221
30012597,11946,6221
30012598,11946,6221
30012603,16734,27861
30012612,11946,6221
30012614,11946,6221
30012632,11946,6221
30012637,11946,6221
30012640,11930,6229
30012645,13727,15094
30012652,11946,6221
30012655,11946,6221
30012693,12092,6319
30012697,21113,13233
30012699,13195,7488
30012700,13195,7488
30012706,12092,6319
30012711,12092,6319
30012712,21113,13233
30012713,12092,6319
30012715,13195,7488
30012716,12092,6319
30012724,13195,7488
30012738,12092,6319
30012739,10392,7601
30012759,11946,6221
30012772,13844,7142
30012797,13195,7488
30012816,13550,21135
30012933,13320,6880
30012961,12273,6387
30012972,5588,4004
30012974,12092,6319
30012977,12092,6319
30013011,11860,6212
30013048,28556,22057
30013056,11251,6060
30013063,30086,25193
30013064,11692,7040
30013065,11251,6060
30013071,11772,6165
30013073,12092,6319
30013075,11692,7040
30013077,12333,6675
30013077,12333,6675
30013094,11772,6165
30013095,11483,6371
30013097,11692,7040
30013102,23877,16236
30013105,11692,7040
30013110,11692,7040
30013111,12749,6887
30013124,11772,6165
30013131,11692,7040
30013140,11251,6060
30013150,11772,6165
30013152,11692,7040
30013215,12749,6887
30013294,33369,27945
30013312,29117,22795
30013333,14157,7520
30013356,29117,22795
30013363,11759,23311
30013363,11759,23311
30013368,2177,1971
30013369,2177,1971
30013398,12273,6387
30013425,10392,7601
30013434,10392,7601
30013442,11251,6060
30013450,12273,6387
30013454,10392,7601
30013478,12273,6387
30013513,11251,6060
30013513,11251,6060
30013517,13153,6831
30013550,14865,8070
30013550,14865,8070
30013599,23861,17173
30013609,11946,6221
30013617,33991,29102
30013624,12092,6319
30013636,12092,6319
30013733,12092,6319
30013741,12273,6387
30013746,14535,7849
30013759,11251,6060
30013782,12273,6387
30013782,12273,6387
30013795,12273,6387
30013814,13421,6916
30013815,14932,7901
30013816,12477,6538
30013819,12477,6538
30013822,13687,7845
30013827,14740,8096
30013831,11946,6221
30013832,12273,6387
30013840,11946,6221
30013874,11251,6060
30013876,12092,6319
30013883,33991,29102
30013898,11251,6060
30013911,12273,6387
30013920,10701,5704
30013923,18190,10283
30013940,12711,6716
30013946,15103,8107
30013965,15103,8107
30013995,14932,7901
30014003,14932,7901
30014007,13421,6916
30014011,14932,7901
30014017,13638,7992
30014020,12751,7389
30014025,13638,7992
30014069,12273,6387
30014137,13687,7845
30014162,12749,6887
30014186,728,1575
30014190,14740,8096
30014196,34985,30093
30014200,12658,6858
30014202,12658,6858
30014203,12658,6858
30014204,12658,6858
30014205,14740,8096
30014207,12658,6858
30014208,12658,6858
30014209,14932,7901
30014227,16075,8424
30014242,14932,7901
30014255,12749,6887
30014302,12749,6887
30014306,14075,7227
30014311,19686,15194
30014317,12749,6887
30014318,13687,7845
30014323,13687,7845
30014331,11692,7040
30014348,13687,7845
30014350,24126,16864
30014358,10392,7601
30014374,11607,7500
30014377,16473,8639
30014379,15116,8004
30014382,13687,7845
30014389,33274,28831
30014391,15116,8004
30014394,12658,6858
30014395,15116,8004
30014429,14932,7901
30014439,11483,6371
30014443,34519,29390
30014493,14131,7220
30014497,12749,6887
30014512,11559,6628
30014576,14865,8070
30014581,13687,7845
30014586,14535,7849
30014591,13421,6916
30014601,14740,8096
30014642,12749,6887
30014664,580,1514
30014674,14932,7901
30014703,7200,4036
30014707,14932,7901
30014710,13687,7845
30014713,14932,7901
30014857,13687,7845
30014884,33274,28831
30014954,14740,8096
30014957,14740,8096
30014979,16075,8424
30014991,14156,7246
30014995,33274,28831
30015038,11759,23311
30015064,11759,23311
30015065,11759,23311
30015067,11860,6212
30015102,11607,7500
30015129,11759,23311
30015177,14131,7220
30015182,11759,23311
30015246,13488,8160
30015251,15449,8378
30015253,13488,8160
30015254,14888,7718
30015255,23877,16236
30015316,12923,6754
30015344,8826,5114
30015353,11692,7040
30015353,11692,7040
30015371,17837,24894
30015375,14984,8189
30015378,14680,8220
30015408,15449,8378
30015435,15449,8378
30015437,11692,7040
30015469,14984,8189
30015473,14984,8189
30015526,24687,18370
30015527,29730,24010
30015533,33274,28831
30015536,29730,24010
30015593,16516,8964
30015607,11860,6212
30015620,11429,6495
30015624,14698,8323
30015704,14888,7718
30015716,4678,6537
30015745,14984,8189
30015768,14984,8189
30015798,18636,10405
30015817,14984,8189
30015831,14984,8189
30015902,14698,8323
30015921,2177,1971
30015922,728,1575
30015937,21113,13233
30015938,15449,8378
30015966,6468,3709
30016022,33418,28086
30016106,29730,24010
30016120,14865,8070
30016174,11231,5930
30016180,21109,13199
30016259,11429,6495
30016261,23877,16236
30016278,15449,8378
30016286,25556,18342
30016325,25556,18342
30016328,14865,8070
30016328,14865,8070
30016332,11212,5952
30016336,13488,8160
30016364,25556,18342
30016369,33991,29102
30016391,13488,8160
30016405,29730,24010
30016421,15897,8344
30016426,20582,18638
30016489,14865,8070
30016509,16473,8639
30016550,11801,6143
30016565,14865,8070
30016565,14865,8070
30016573,647,1543
30016601,36820,34297
30016616,7200,4036
30016618,15933,8352
30016644,15933,8352
30016666,14131,7220
30016689,15933,8352
30016697,15933,8352
30016702,5316,3475
30016754,8826,5114
30016764,11692,7040
30016768,11645,6041
30016775,8826,5114
30016776,14015,8359
30016778,15933,8352
30016788,15933,8352
30016817,15933,8352
30016824,34548,29388
30016828,11692,7040
30016833,15933,8352
30016837,11417,6531
30016842,16346,8540
30016844,11692,7040
30016852,15933,8352
30016866,11692,7040
30016868,11692,7040
30016874,11692,7040
30016878,11692,7040
30016890,11860,6212
30016890,11860,6212
30016893,11692,7040
30016934,15897,8344
30016939,13638,7992
30016961,15933,8352
30016965,15933,8352
30016968,15933,8352
30016976,11429,6495
30016978,16516,8964
30016995,11692,7040
30016998,11692,7040
30017004,15933,8352
30017032,13532,6958
30017076,15933,8352
30017079,10392,7601
30017102,14131,7220
30017112,33016,29098
30017117,33016,29098
30017132,13488,8160
30017136,14984,8189
30017138,33016,29098
30017150,15933,8352
30017164,15933,8352
30017176,33016,29098
30017179,33016,29098
30017181,33016,29098
30017208,18130,10015
30017225,15933,8352
30017241,15933,8352
30017266,15933,8352
30017275,15933,8352
30017286,15933,8352
30017287,15933,8352
30017288,15933,8352
30017302,15933,8352
30017308,15933,8352
30017311,14131,7220
30017321,12630,6757
30017325,12630,6757
30017330,15933,8352
30017350,34428,29271
30017383,33879,29194
30017416,14131,7220
30017428,14131,7220
30017429,15933,8352
30017439,14131,7220
30017439,14131,7220
30017445,12430,6639
30017446,14131,7220
30017446,14131,7220
30017449,13846,8645
30017458,14131,7220
30017473,14131,7220
30017480,34007,28852
30017481,15933,8352
30017506,14131,7220
30017506,14131,7220
30017507,18227,10192
30017509,15933,8352
30017514,14131,7220
30017526,15933,8352
30017537,14984,8189
30017540,15933,8352
30017542,25903,18696
30017546,15933,8352
30017553,14131,7220
30017553,14131,7220
30017554,14984,8189
30017562,15933,8352
30017573,15933,8352
30017574,15933,8352
30017577,14740,8096
30017578,15933,8352
30017620,10699,5678
30017657,32843,27129
30017661,13846,8645
30017676,13846,8645
30017699,14131,7220
30017702,16360,8555
30017704,14131,7220
30017717,16578,8815
30017732,15107,8853
30017737,32843,27129
30017745,15107,8853
30017750,16636,8787
30017768,16550,8867
30017769,31829,25781
30017783,32843,27129
30017784,15107,8853
30017791,15107,8853
30017826,32843,27129
30017829,32843,27129
30017830,32843,27129
30017835,32843,27129
30017843,6109,3622
30017864,14813,7636
30017877,17016,9071
30017882,12333,6675
30017883,14424,7526
30017884,12333,6675
30017891,12556,6671
30017892,13846,8645
30017897,12711,6716
30017910,16360,8555
30017921,12333,6675
30017931,16199,8997
30017935,14424,7526
30017975,14157,7520
30017977,35536,30703
30017986,14157,7520
30017988,32517,27119
30018003,16537,8717
30018063,13638,7992
30018076,34407,29245
30018078,27906,21263
30018098,14813,7636
30018117,33812,28834
30018135,16729,9021
30018144,11946,6221
30018145,16738,8869
30018148,11946,6221
30018151,16550,8867
30018151,16550,8867
30018154,12333,6675
30018158,16738,8869
30018164,11946,6221
30018168,11692,7040
30018175,14131,7220
30018176,11692,7040
30018184,16738,8869
30018192,11946,6221
30018193,11946,6221
30018202,28706,22636
30018207,12333,6675
30018225,12430,6639
30018232,11417,6531
30018238,11946,6221
30018242,16360,8555
30018244,8826,5114
30018255,14157,7520
30018268,16311,9286
30018275,14424,7526
30018276,14984,8189
30018320,8826,5114
30018330,13066,6730
30018336,8826,5114
30018349,16578,8815
30018349,16578,8815
30018353,28706,22636
30018369,21113,13233
30018397,16934,8969
30018404,29523,23304
30018428,32843,27129
30018450,14984,8189
30018459,23877,16236
30018510,11332,10817
30018513,12711,6716
30018550,11692,7040
30018551,16550,8867
30018663,14535,7849
30018671,14535,7849
30018673,12711,6716
30018705,10888,5780
30018716,13532,6958
30018718,14984,8189
30018725,14984,8189
30018731,14984,8189
30018737,14984,8189
30018762,23877,16236
30018771,11212,5952
30018773,16550,8867
30018790,23877,16236
30018792,25473,18224
30018793,16617,10126
30018796,16516,8964
30018799,16516,8964
30018816,14637,7571
30018845,11759,23311
30018845,11759,23311
30018847,15410,11830
30018850,32517,27119
30018851,11759,23311
30018851,11759,23311
30018862,32517,27119
30018901,11388,6419
30018984,14131,7220
30019001,16550,8867
30019007,11212,5952
30019021,11388,6419
30019048,14535,7849
30019052,17141,9148
30019068,15933,8352
30019072,16311,9286
30019074,17141,9148
30019162,11388,6419
30019170,14424,7526
30019216,21113,13233
30019238,17016,9071
30019304,34741,29594
30019305,34209,29055
30019307,15013,7733
30019320,17384,9344
30019326,15013,7733
30019333,4964,3339
30019334,15013,7733
30019337,34209,29055
30019341,15013,7733
30019347,17384,9344
30019371,17384,9344
30019388,17384,9344
30019398,12477,6538
30019401,12477,6538
30019402,16729,9021
30019403,15013,7733
30019410,16729,9021
30019456,18965,10788
30019474,13846,8645
30019475,12749,6887
30019487,12749,6887
30019488,14986,7854
30019488,14986,7854
30019523,14015,8359
30019529,14986,7854
30019554,27529,20868
30019585,17281,9270
30019595,34704,29707
30019598,17016,9071
30019599,17016,9071
30019600,14986,7854
30019603,11692,7040
30019606,17627,9582
30019610,17303,9263
30019615,17627,9582
30019617,17303,9263
30019622,17384,9344
30019642,17384,9344
30019700,16675,8850
30019706,17660,9549
30019708,17309,9274
30019712,17597,9490
30019723,18614,13009
30019746,15116,8004
30019760,17384,9344
30019763,17384,9344
30019770,17384,9344
30019771,13846,8645
30019772,17384,9344
30019774,17073,9290
30019775,17384,9344
30019783,7208,4083
30019792,17384,9344
30019812,17660,9549
30019818,14986,7854
30019819,17384,9344
30019820,14157,7520
30019821,17384,9344
30019824,14075,7227
30019825,14157,7520
30019828,17384,9344
30019837,17384,9344
30019841,17384,9344
30019857,5316,3475
30019868,11205,5912
30019876,36689,33794
30019904,17281,9270
30019924,14157,7520
30019931,17288,9316
30019935,11946,6221
30019938,11946,6221
30019949,11946,6221
30019950,35144,30115
30019959,11607,7500
30019968,17303,9263
30019968,17303,9263
30019972,17281,9270
30019975,17016,9071
30019988,34450,29309
30019992,16578,8815
30019996,18223,10089
30020002,17660,9549
30020007,17568,9479
30020017,17016,9071
30020019,16199,8997
30020023,17660,9549
30020026,18560,10340
30020036,13846,8645
30020037,14075,7227
30020046,14986,7854
30020046,14986,7854
30020086,17384,9344
30020089,19217,11051
30020093,26459,19447
30020095,34034,28872
30020113,18336,10220
30020116,34335,29296
30020118,14813,7636
30020126,17509,9383
30020132,17388,9313
30020133,34335,29296
30020148,33101,27403
30020149,34335,29296
30020150,18907,16012
30020174,17758,9624
30020178,15656,8219
30020182,17388,9313
30020186,29092,22699
30020194,15013,7733
30020200,17384,9344
30020201,11946,6221
30020211,11946,6221
30020212,17384,9344
30020218,11946,6221
30020225,17384,9344
30020230,20943,13535
30020257,13066,6730
30020260,17568,9479
30020261,17568,9479
30020276,17384,9344
30020278,17568,9479
30020281,11946,6221
30020289,17384,9344
30020296,11946,6221
30020298,11946,6221
30020308,18379,11408
30020311,20943,13535
30020315,12445,6994
30020328,18843,10808
30020335,34335,29296
30020343,17397,9324
30020350,11946,6221
30020364,11946,6221
30020372,11946,6221
30020381,11946,6221
30020413,17384,9344
30020414,16346,8540
30020417,11946,6221
30020423,17449,9380
30020427,13412,7064
30020430,34590,29434
30020433,11946,6221
30020438,23300,15978
30020442,11946,6221
30020449,30968,24730
30020455,17944,9833
30020455,17944,9833
30020467,27396,20630
30020467,27396,20630
30020468,34252,29066
30020469,34252,29066
30020478,30968,24730
30020487,18907,16012
30020494,26413,19413
30020498,23209,15901
30020548,28780,22274
30020549,34947,30147
30020549,34947,30147
30020556,12334,6522
30020558,17307,9289
30020560,31573,26385
30020562,31573,26385
30020581,14813,7636
30020596,31573,26385
30020626,16550,8867
30020626,16550,8867
30020644,17653,9568
30020654,17449,9380
30020661,11692,7040
30020663,17449,9380
30020673,17740,9622
30020687,23166,15296
30020692,17627,9582
30020712,32219,26375
30020714,32628,28760
30020715,32628,28760
30020728,11692,7040
30020734,17468,9692
30020754,19201,11040
30020780,20943,13535
30020785,12334,6522
30020793,32628,28760
30020800,17759,9667
30020802,11692,7040
30020806,17660,9549
30020807,17740,9622
30020809,17660,9549
30020818,14984,8189
30020825,14984,8189
30020826,20943,13535
30020879,16636,8787
30020882,24163,16813
30020883,17281,9270
30020893,7208,4083
30020897,33392,31011
30020898,17281,9270
30020904,36024,31727
30020912,16112,9691
30020915,11335,9136
30020948,14015,8359
30020959,13904,8033
30020960,953,1635
30020962,17779,9734
30020967,7208,4083
30020975,17740,9622
30020994,29886,23553
30020997,16535,23500
30021003,20523,13270
30021012,17449,9380
30021024,17449,9380
30021025,14850,7947
30021035,11692,7040
30021036,17653,9568
30021061,14984,8189
30021077,28960,29312
30021088,13498,9774
30021094,14984,8189
30021097,13846,8645
30021106,13846,8645
30021125,17468,9692
30021154,17660,9549
30021158,16112,9691
30021182,15983,8430
30021197,16112,9691
30021206,18040,9906
30021209,17846,9737
30021216,18035,9949
30021219,11335,9136
30021227,25016,17773
30021236,14725,7591
30021299,13459,9741
30021309,28349,21803
30021321,13550,21135
30021343,17837,24894
30021373,12751,7389
30021374,25774,18563
30021382,17694,9732
30021382,17694,9732
30021387,17846,9737
30021395,8826,5114
30021403,18209,10084
30021408,13498,9774
30021409,17054,9770
30021455,17740,9622
30021458,14535,7849
30021459,17944,9833
30021459,17944,9833
30021464,17740,9622
30021467,17740,9622
30021471,17740,9622
30021474,26180,19115
30021484,17740,9622
30021488,27903,21256
30021520,17779,9734
30021532,17740,9622
30021557,35624,30854
30021561,17779,9734
30021563,17740,9622
30021583,17303,9263
30021607,15528,8116
30021614,15898,11007
30021638,26180,19115
30021641,26180,19115
30021643,17740,9622
30021644,26180,19115
30021645,17740,9622
30021649,17846,9737
30021653,17740,9622
30021659,26180,19115
30021661,17779,9734
30021675,17740,9622
30021699,431,1450
30021700,34392,29235
30021737,18133,10018
30021794,12334,6522
30021799,18024,9888
30021804,14347,10297
30021806,17281,9270
30021823,17281,9270
30021831,17281,9270
30021831,17281,9270
30021839,13195,7488
30021842,17071,10205
30021848,16112,9691
30021856,17986,9932
30021861,17779,9734
30021868,18133,10018
30021872,23877,16236
30021873,17759,9667
30021876,16151,9933
30021879,17779,9734
30021895,16151,9933
30021909,15933,8352
30021910,16112,9691
30021921,17759,9667
30021927,17779,9734
30021931,17779,9734
30021962,17759,9667
30021974,17780,9677
30022040,17759,9667
30022056,16636,8787
30022058,12334,6522
30022062,17779,9734
30022065,11335,9136
30022066,16112,9691
30022071,17281,9270
30022074,24081,16683
30022076,15933,8352
30022079,18133,10018
30022080,17281,9270
30022095,17281,9270
30022102,15933,8352
30022103,5316,3475
30022111,11335,9136
30022116,15933,8352
30022118,15933,8352
30022120,16112,9691
30022126,17704,9988
30022133,17704,9988
30022156,17759,9667
30022167,15983,8430
30022168,17704,9988
30022179,17759,9667
30022182,23839,16139
30022189,17621,9558
30022195,17597,9490
30022195,17597,9490
30022211,17759,9667
30022213,18024,9888
30022229,17621,9558
30022234,17807,9766
30022237,18221,10240
30022255,15983,8430
30022258,17759,9667
30022267,17759,9667
30022268,11335,9136
30022271,17759,9667
30022277,17759,9667
30022297,18814,10798
30022338,17758,9624
30022340,18133,10018
30022341,17986,9932
30022343,17986,9932
30022343,17986,9932
30022344,16151,9933
30022354,17281,9270
30022365,18133,10018
30022371,18133,10018
30022376,17281,9270
30022383,17778,9730
30022388,18133,10018
30022389,17986,9932
30022391,18133,10018
30022402,17281,9270
30022420,17779,9734
30022431,17883,9781
30022435,18133,10018
30022467,33274,28831
30022488,17281,9270
30022494,15933,8352
30022497,16550,8867
30022502,17281,9270
30022504,11335,9136
30022505,17281,9270
30022512,13681,10440
30022522,18680,10441
30022527,11096,9190
30022530,18680,10441
30022535,15983,8430
30022544,17653,9568
30022550,17653,9568
30022552,17653,9568
30022553,14536,10734
30022566,24657,17436
30022567,17951,9899
30022598,17951,9899
30022599,17951,9899
30022605,17951,9899
30022606,14347,10297
30022634,17073,9290
30022637,17281,9270
30022695,11212,5952
30022695,11212,5952
30022697,17281,9270
30022703,17532,10266
30022714,18190,10283
30022719,14984,8189
30022726,18440,10287
30022729,14989,26181
30022740,11212,5952
30022752,11212,5952
30022758,16537,8717
30022776,12749,6887
30022778,17778,9730
30022794,14347,10297
30022807,22194,14501
30022830,11212,5952
30022843,13681,10440
30022859,18680,10441
30022876,14347,10297
30022914,18719,10521
30022916,12092,6319
30022920,16396,9491
30022933,19275,11113
30022966,18423,10357
30022969,18423,10357
30022974,7208,4083
30022975,18423,10357
30022993,728,1575
30023000,28706,22636
30023008,14347,10297
30023021,14347,10297
30023025,11212,5952
30023036,32843,27129
30023039,14347,10297
30023055,18551,10326
30023062,18423,10357
30023065,14347,10297
30023076,14842,10320
30023081,13681,10440
30023087,17073,9290
30023088,28706,22636
30023097,18375,10208
30023115,17653,9568
30023117,17951,9899
30023122,15983,8430
30023126,15983,8430
30023133,12477,6538
30023137,18679,10439
30023140,18392,10229
